morphology,tail,roll_deg,pitch_deg,condition,date,rep,source_file,n_samples,impact_time_s,estimated_fall_distance_m,posture_score,whole_body_upright_score,spine_alignment_score,whole_body_tilt_deg,whole_body_roll_deg,whole_body_pitch_deg,spine_misalignment_deg,abs_whole_body_pitch_deg,front_upright_score,back_upright_score,orientation_error_deg,angular_speed_deg_s,abs_roll_deg,abs_pitch_deg,abs_roll_rate_deg_s,abs_pitch_rate_deg_s,initial_orientation_error_deg,initial_posture_score,initial_whole_body_upright_score,initial_spine_alignment_score,initial_whole_body_pitch_deg,initial_abs_whole_body_pitch_deg,initial_front_upright_score,initial_back_upright_score,initial_angular_speed_deg_s,initial_roll_deg,initial_pitch_deg,initial_roll_rate_deg_s,initial_pitch_rate_deg_s,righting_success_075,righting_success_080,righting_success_085,time_to_righting_080_s,restricted_time_to_righting_075_s,restricted_time_to_righting_080_s,restricted_time_to_righting_085_s,integrated_posture_deficit,modeled_pd_effort_common,modeled_pd_effort_total
no_tail,0,45,0,r45,0810,1,telemetry/raw/no_tail/roll/roll_045deg/nt_roll_045deg_0810_rep01.csv,50,0.8029000000000011,3.162000451050009,0.6478114797101802,0.8958754743866022,0.7231043802753176,18.742414610411608,12.534572455463458,-13.706098943730817,49.841211550442814,13.706098943730817,0.8925528205222033,0.8910653876613317,34.58230308175525,165.0733899369031,19.18959619518921,2.4579826307481483,158.224034306531,36.93247599262877,47.629121333805635,0.7266221889985204,0.736111811509597,0.9871084496095565,0.8280936127382269,0.8280936127382269,0.7425563245742532,0.7296672524567713,154.17392914690848,46.334150140277046,0.8280936127382263,38.01081693143496,-149.24912407148372,0,0,0,,0.7139215614635326,0.7139215614635326,0.7139215614635326,0.33308620845128195,1.811377630183129,1.811377630183129
no_tail,0,45,0,r45,0810,2,telemetry/raw/no_tail/roll/roll_045deg/nt_roll_045deg_0810_rep02.csv,50,0.8030000000000008,3.1627881450000066,0.4696318122194598,0.6852507280972189,0.6853430327954815,56.654868942500606,54.68111668793343,-10.318044214331074,56.638254096813334,10.318044214331074,0.7093164784875896,0.6605802540542992,59.04359533193068,655.8134479824372,51.566533432655916,10.49376935546718,329.74186029166225,160.31420110019764,45.960927418304294,0.7388682877768595,0.7452734411913782,0.9914056330730376,1.3353870134902643,1.3353870134902643,0.7495683272629237,0.7409784956963925,105.64487004869785,45.062175766356766,1.3353870134902686,51.380101337986204,-91.42564022712621,0,0,0,,0.7139215614635326,0.7139215614635326,0.7139215614635326,0.4290680257250941,2.051815541996061,2.051815541996061
no_tail,0,45,0,r45,0810,3,telemetry/raw/no_tail/roll/roll_045deg/nt_roll_045deg_0810_rep03.csv,50,0.8230000000000004,3.3222987450000034,0.6090294344768462,0.8629174268977629,0.7057795050754063,24.67486315840269,7.545367418744071,-23.345784400418577,52.95968908642687,23.345784400418577,0.8618795590838263,0.8259807800117407,28.82074599918042,362.84423528141747,23.913558406938023,7.009586372037575,97.11666050039204,184.04852528053325,46.16247950577572,0.7258698733389874,0.7451047003393865,0.9741850682304946,1.2440570779527351,1.2440570779527351,0.7580060170309199,0.7322029182098748,66.77120126618304,43.54470917489709,1.2440570779527342,48.25588650830808,-46.14818258945481,0,0,0,,0.7139215614635326,0.7139215614635326,0.7139215614635326,0.36803383838838816,1.987382404729134,1.987382404729134
no_tail,0,45,0,r45,0816,1,telemetry/raw/no_tail/roll/roll_045deg/nt_roll_045deg_0816_rep01.csv,50,0.7688000000000024,2.8991171232000177,0.480286956480625,0.8273194878148864,0.5805338367516972,31.082492193320437,24.658206043333447,-17.704047672880336,75.5039093846945,17.704047672880336,0.8470322249721098,0.6571174001326585,81.42146113227093,589.6928166725631,24.0016529795613,13.912312719680926,519.1056412787103,56.17096171348608,47.686461810052975,0.7370372714112448,0.7467057397430519,0.9870518360617744,1.4006999283473192,1.4006999283473192,0.7531259777938002,0.7402834064013202,69.09473047462969,44.417889394482245,1.4774103240726297,-56.073411442432544,1.909821453676984,0,0,0,,0.7139215614635326,0.7139215614635326,0.7139215614635326,0.3826420580530251,2.015954281067607,2.015954281067607
no_tail,0,45,0,r45,0816,2,telemetry/raw/no_tail/roll/roll_045deg/nt_roll_045deg_0816_rep02.csv,50,0.8030999999999988,3.1635759370499907,0.7680576815096355,0.9440009698664834,0.8136195894144761,10.079825424032988,-3.0571620684065897,-9.595796801990586,33.548473905394296,9.595796801990586,0.9873302619276663,0.8921339697950851,8.095380357003966,77.34074144045171,2.1637316110877123,0.7207175485228845,63.97179663822466,42.315227133538365,47.10242358747789,0.7467008784474422,0.7467008784474422,1.0,1.5266809777374346,1.5266809777374346,0.7467008784474422,0.7467008784474422,49.86478397691347,45.573910225957256,1.5266809777374402,-40.11151878864624,-28.669058112137893,0,0,0,,0.7139215614635326,0.7139215614635326,0.7139215614635326,0.2957276041482255,1.9416480347640561,1.9416480347640561
no_tail,0,45,0,r45,0816,3,telemetry/raw/no_tail/roll/roll_045deg/nt_roll_045deg_0816_rep03.csv,50,0.8229000000000006,3.3214914310500054,0.6990262290507956,0.9040565779149743,0.7732107106205232,17.269815975304628,-16.415094561105576,5.218744923101594,40.82207208830583,5.218744923101594,0.8653938722323637,0.905958978931672,38.38680558823436,45.66569960849467,21.760682123760773,10.923789259684327,42.18336770289294,15.720709811932855,48.911501456378744,0.7392889317123662,0.7392889317123662,1.0,0.6662386809076131,0.6662386809076131,0.7392889317123662,0.7392889317123662,59.29039837654554,46.92437074236882,0.6662386809076178,-6.121580006028724,-58.595559966100424,1,0,0,,0.4615999999999989,0.7139215614635326,0.7139215614635326,0.30762251132025453,2.016231687269043,2.016231687269043
no_tail,0,90,0,r90,0810,1,telemetry/raw/no_tail/roll/roll_090deg/nt_roll_090deg_0810_rep01.csv,50,0.8030999999999988,3.1635759370499907,0.44642281186903116,0.876335953468515,0.5094197152383184,22.259528375667294,14.86018483150196,-16.18748254504178,88.30445125710268,16.18748254504178,0.8631455741408496,0.775218544563915,47.46817319588142,23.618709599929698,23.31088920615491,8.196313083625228,7.97209195222374,8.952525948102716,95.47077697490172,0.44408227029854747,0.459922521506857,0.9655588703149138,-2.149373112325986,2.149373112325986,0.47713084841509756,0.4427143634648887,52.84830769128536,94.1193504694387,-2.149373112325978,34.82113404105169,-27.553168396335206,0,0,0,,0.7139215614635326,0.7139215614635326,0.7139215614635326,0.5604454707427536,1.8680728905881443,1.8680728905881443
no_tail,0,90,0,r90,0810,2,telemetry/raw/no_tail/roll/roll_090deg/nt_roll_090deg_0810_rep02.csv,50,0.7828999999999997,3.006433471049998,0.7743497802511551,0.9710696025179909,0.7974194416582089,5.20747154676164,-4.465618936422273,2.6733784288264193,36.464500501522394,2.6733784288264193,0.884307201173956,0.9090679156657127,29.90972824479535,492.964510795813,4.391570957605325,20.376523817674666,326.8630403690962,267.8263492496106,93.49088205521349,0.4707781117295376,0.4832532617079185,0.9741850682304946,-0.30769569459569107,0.30769569459569107,0.4961605412460899,0.4703459829677181,23.949779093331454,90.69111254205926,-0.3076956945956895,-5.530441986526976,-22.140066942746845,0,0,0,,0.7139215614635326,0.7139215614635326,0.7139215614635326,0.4552045221974661,1.9576795041906665,1.9576795041906665
no_tail,0,90,0,r90,0810,3,telemetry/raw/no_tail/roll/roll_090deg/nt_roll_090deg_0810_rep03.csv,50,0.8029999999999973,3.1627881449999786,0.5495215615673453,0.9889223502880381,0.5556771584819467,1.9939769481531446,1.7996147100101059,0.8583973867003121,79.97811147324958,0.8583973867003121,0.7688316723281323,0.7872919731527168,43.658129142017074,663.3409829371104,19.93723061785721,37.31201065520486,630.6443600135758,7.317354846226252,95.54586018658141,0.47095116575749696,0.4729987843306901,0.9956709855479003,-0.18555516636159347,0.18555516636159347,0.4751632801302217,0.47083428854438025,11.215250762486832,94.47063306867415,-0.18555516636159175,-2.6734769867328794,0.7753090086177088,0,0,0,,0.7139215614635326,0.7139215614635326,0.7139215614635326,0.5017444400981601,2.090489288857536,2.090489288857536
no_tail,0,90,0,r90,0816,1,telemetry/raw/no_tail/roll/roll_090deg/nt_roll_090deg_0816_rep01.csv,50,0.8229000000000006,3.3214914310500054,0.8730025804550537,0.9575154931573432,0.9117372895726065,7.647211231678219,-7.38932412766594,-1.9582772338715193,15.887287876930834,1.9582772338715193,0.9323076237932482,0.9463433999881611,20.122301480326065,296.2248332356709,7.365300741413591,9.733495504953169,179.95145629450732,202.79601910358758,90.60284150863616,0.4887744420291293,0.49733889878436444,0.9827794351574568,0.13502321024889116,0.13502321024889116,0.5059491572946841,0.4887286402848644,40.06604175701575,88.92914871309266,0.13502321024888136,2.799532746729195,-39.47275021126032,1,1,0,0.5419999999999998,0.5017999999999994,0.5419999999999998,0.7139215614635326,0.4255959359334936,1.580273581998229,1.580273581998229
