analysis,label,outcome,family,n,estimate,se_hc3,ci_low,ci_high,t_hc3,p_hc3,residual_sd,df_resid,overlap_estimate,p_permutation,n_overlap,mean_no_tail,mean_with_tail,p_holm_four_new_endpoints
righting_time_080,Restricted time to sustained score >= 0.80 (s),restricted_time_to_righting_080_s,time,72,-0.1059396093923656,0.03150828436670495,-0.16894431793475617,-0.04293490084997505,-3.362277938062309,0.0013392303423574448,0.08658046239964347,61,-0.10709053544909486,0.001799640071985603,42,0.6887640109559326,0.6391839724739518,0.004017691027072334
integrated_posture_deficit,Mean posture deficit through cutoff,integrated_posture_deficit,time,72,-0.05872921854632796,0.018023130610189824,-0.09476869558990778,-0.022689741502748155,-3.2585470203008984,0.0018325769620653313,0.05128508148134288,61,-0.0639846836496661,0.0005998800239952009,42,0.5753449612599606,0.544586389535542,0.004017691027072334
modeled_pd_effort_common,"Modeled PD effort, three common actuators",modeled_pd_effort_common,effort_proxy,72,-0.2052467237204587,0.05430184867570861,-0.31382998104123183,-0.09666346639968557,-3.779737315136267,0.0003592518878540979,0.15003698082541383,61,-0.20858009951998957,0.0007998400319936012,42,1.7108686049383455,1.5835725465799473,0.0014370075514163916
modeled_pd_effort_total,"Modeled PD effort, all four actuators",modeled_pd_effort_total,effort_proxy,72,0.1433071270361332,0.052670235295336744,0.037986482312344944,0.24862777175992143,2.7208370388430967,0.008473405670303845,0.15700359612807924,61,0.15287098585877407,0.004399120175964807,42,1.9608161414872842,2.1001755490249203,0.008473405670303845
righting_time_075_sensitivity,Threshold sensitivity: sustained score >= 0.75 (s),restricted_time_to_righting_075_s,threshold_sensitivity,72,-0.12337699377530406,0.033320975938529264,-0.19000640313703607,-0.056747584413572055,-3.7026824785357633,0.00046084364331278337,0.09481291711023278,61,-0.1279001169524636,0.0007998400319936012,42,0.672957440066012,0.613582124348506,
righting_time_085_sensitivity,Threshold sensitivity: sustained score >= 0.85 (s),restricted_time_to_righting_085_s,threshold_sensitivity,72,-0.06941668974411899,0.024557339864923332,-0.11852212572275612,-0.02031125376548186,-2.8267186155317607,0.006350740423291948,0.0642894394987325,61,-0.07864584968911265,0.0021995600879824036,42,0.7057122878709091,0.6698286777422545,
